,Name,Position,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total
6510,Y. Asano,SUB,78.0,73.0,69.0,76.0,58.0,354.0
6511,Varela,RCB,65.0,62.0,58.0,72.0,78.0,335.0
6512,K. Bua,LM,83.0,86.0,84.0,73.0,45.0,371.0
6513,M. Loum,SUB,47.0,51.0,53.0,76.0,85.0,312.0
6514,M. Żyro,RES,67.0,71.0,76.0,62.0,61.0,337.0
6515,N. Hansen,SUB,84.0,89.0,68.0,67.0,54.0,362.0
6516,21 A. Koné,SUB,65.0,65.0,64.0,58.0,55.0,307.0
6517,21 Muguruza,SUB,69.0,73.0,57.0,65.0,54.0,318.0
6518,P. Faragò,RES,63.0,54.0,50.0,66.0,66.0,299.0
6519,C. Kabasele,SUB,59.0,74.0,52.0,65.0,76.0,326.0
6520,M. McNulty,SUB,75.0,72.0,74.0,72.0,79.0,372.0
6521,18 M. Biševac,SUB,54.0,60.0,52.0,56.0,74.0,296.0
6522,K. Vincent-Young,RB,81.0,82.0,77.0,67.0,60.0,367.0
6523,I. Gheorghe,LW,90.0,84.0,85.0,80.0,40.0,379.0
6524,F. Chafik,RM,64.0,63.0,69.0,83.0,68.0,347.0
6525,Rafael Lopes,RF,68.0,53.0,66.0,81.0,75.0,343.0
6526,J. Kerr,SUB,69.0,68.0,62.0,78.0,75.0,352.0
6527,A. La Gumina,RES,76.0,74.0,70.0,58.0,70.0,348.0
6528,19 Robinho,CAM,74.0,72.0,81.0,59.0,30.0,316.0
6529,Hélder Ferreira,RW,76.0,74.0,71.0,68.0,45.0,334.0
6530,18 T. Rantie,SUB,86.0,86.0,81.0,75.0,62.0,390.0
6531,E. Finlay,RAM,83.0,77.0,69.0,78.0,57.0,364.0
6532,T. Edwards,RCB,77.0,75.0,72.0,78.0,65.0,367.0
6533,A. Hassan,SUB,55.0,53.0,71.0,60.0,77.0,316.0
6534,L. Kastrati,RM,92.0,93.0,81.0,78.0,64.0,408.0
6535,V. Vevatne,LCB,68.0,69.0,63.0,80.0,67.0,347.0
6536,Zhao Xuri,LCM,34.0,40.0,56.0,64.0,72.0,266.0
6537,A. Bonnet,LM,73.0,71.0,84.0,75.0,42.0,345.0
6538,Olasagasti,SUB,67.0,62.0,64.0,78.0,65.0,336.0
6539,N. Berardo,SUB,60.0,70.0,57.0,72.0,77.0,336.0
6540,Na Sang Ho,LW,80.0,85.0,81.0,77.0,61.0,384.0
6541,20 L. Bittante,SUB,71.0,83.0,72.0,83.0,62.0,371.0
6542,H. Bahebri,SUB,76.0,74.0,80.0,65.0,57.0,352.0
6543,M. Dijks,SUB,65.0,69.0,47.0,65.0,78.0,324.0
6544,T. Grøgaard,SUB,79.0,72.0,77.0,72.0,58.0,358.0
6545,L. Juliš,SUB,81.0,83.0,72.0,69.0,67.0,372.0
6546,S. Sadzoute,RES,69.0,80.0,72.0,70.0,56.0,347.0
6547,C. McGrandles,RCM,71.0,67.0,74.0,85.0,62.0,359.0
6548,Oriol Rosell,SUB,35.0,36.0,59.0,60.0,65.0,255.0
6549,L. Murphy,CDM,51.0,49.0,56.0,70.0,68.0,294.0
6550,21 D. Guthrie,SUB,46.0,47.0,63.0,50.0,73.0,279.0
6551,19 S. Laird,SUB,64.0,65.0,70.0,78.0,65.0,342.0
6552,Erik Morán,LDM,38.0,46.0,63.0,70.0,73.0,290.0
6553,J. Rankin-Costello,SUB,78.0,72.0,73.0,65.0,57.0,345.0
6554,Francho Serrano,LCM,62.0,63.0,68.0,67.0,52.0,312.0
6555,T. Goppel,RW,88.0,82.0,78.0,76.0,60.0,384.0
6556,A. Rose,SUB,50.0,68.0,37.0,80.0,73.0,308.0
6557,J. Labadie,SUB,65.0,64.0,60.0,83.0,85.0,357.0
6558,M. Ahlinvi,SUB,65.0,62.0,70.0,66.0,70.0,333.0
6559,21 Jurado,SUB,63.0,55.0,70.0,47.0,45.0,280.0
6560,J. Augustinsson,SUB,76.0,79.0,70.0,78.0,52.0,355.0
6561,P. Lipski,CAM,71.0,64.0,75.0,77.0,62.0,349.0
6562,15 João Pedro,RW,76.0,78.0,78.0,67.0,54.0,353.0
6563,21 Eric Ramires,SUB,78.0,80.0,80.0,53.0,63.0,354.0
6564,L. de la Torre,LDM,73.0,59.0,76.0,74.0,52.0,334.0
6565,Hugo Guillamón,SUB,63.0,59.0,57.0,71.0,70.0,320.0
6566,S. Mijnans,RM,77.0,74.0,75.0,61.0,57.0,344.0
6567,N. Ibáñez,ST,72.0,73.0,71.0,73.0,64.0,353.0
6568,R. Kolo Muani,ST,84.0,81.0,78.0,67.0,31.0,341.0
6569,Marlon,RCB,63.0,65.0,59.0,62.0,75.0,324.0
6570,19 M. Doyle,RDM,41.0,49.0,59.0,82.0,90.0,321.0
6571,J. Hendry,RCB,65.0,76.0,62.0,74.0,70.0,347.0
6572,N. Al Dawsari,SUB,66.0,73.0,82.0,68.0,55.0,344.0
6573,K. Anderson,LM,81.0,81.0,85.0,67.0,34.0,348.0
6574,G. Moncini,SUB,76.0,72.0,73.0,69.0,57.0,347.0
6575,B. Ogbeche,ST,61.0,65.0,61.0,70.0,76.0,333.0
6576,R. Onyedika,RCM,73.0,75.0,67.0,72.0,69.0,356.0
6577,21 M. Spelmann,SUB,68.0,64.0,65.0,55.0,77.0,329.0
6578,C. Herc,LW,68.0,67.0,60.0,73.0,58.0,326.0
6579,G. Kalulu,SUB,81.0,83.0,80.0,73.0,69.0,386.0
6580,M. Richter,SUB,86.0,68.0,80.0,71.0,41.0,346.0
6581,J. Pešek,LM,90.0,90.0,88.0,75.0,41.0,384.0
6582,C. Vanhoutte,RCM,64.0,64.0,67.0,78.0,69.0,342.0
6583,M. Turay,SUB,86.0,91.0,87.0,77.0,80.0,421.0
6584,21 J. Edmundsson,SUB,73.0,68.0,74.0,78.0,56.0,349.0
6585,J. Van Cleemput,RCB,75.0,69.0,70.0,77.0,72.0,363.0
6586,T. Suzuki,LM,70.0,70.0,72.0,72.0,74.0,358.0
6587,D. Cerén,SUB,44.0,49.0,53.0,71.0,77.0,294.0
6588,18 J. Cobo,RDM,53.0,62.0,55.0,71.0,53.0,294.0
6589,19 Samu García,SUB,69.0,73.0,67.0,60.0,48.0,317.0
6590,L. Traoré,ST,75.0,78.0,68.0,73.0,57.0,351.0
6591,T. Monyane,RES,81.0,78.0,73.0,65.0,56.0,353.0
6592,T. Kádár,RCB,66.0,69.0,58.0,90.0,75.0,358.0
6593,Mayoral,SUB,82.0,82.0,80.0,64.0,45.0,353.0
6594,S. Salinas,SUB,72.0,70.0,70.0,70.0,58.0,340.0
6595,B. Watson,RDM,32.0,33.0,48.0,63.0,66.0,242.0
6596,Y. Mina,RCB,33.0,54.0,49.0,66.0,80.0,282.0
6597,G. Troupée,RB,73.0,74.0,71.0,70.0,69.0,357.0
6598,T. Clarke,SUB,86.0,82.0,81.0,66.0,65.0,380.0
6599,21 S. Longo,RES,72.0,72.0,72.0,64.0,78.0,358.0
6600,N. Makhubela,SUB,73.0,73.0,72.0,67.0,43.0,328.0
6601,Y. Takahagi,SUB,34.0,32.0,63.0,61.0,63.0,253.0
6602,M. Kjaergaard,SUB,67.0,74.0,74.0,65.0,70.0,350.0
6603,S. Lahssaini,SUB,67.0,64.0,64.0,68.0,63.0,326.0
6604,A. Tosin,RES,92.0,93.0,86.0,71.0,53.0,395.0
6605,19 D. Böde,SUB,64.0,66.0,59.0,54.0,68.0,311.0
6606,21 Bruno Leite,SUB,73.0,70.0,62.0,81.0,57.0,343.0
6607,21 W. Bony,RES,47.0,48.0,42.0,33.0,75.0,245.0
6608,F. Andrada,LW,73.0,76.0,72.0,73.0,46.0,340.0
6609,Davo,SUB,82.0,81.0,80.0,65.0,45.0,353.0
6610,M. Brink,CM,68.0,65.0,73.0,80.0,58.0,344.0
6611,21 M. Pugh,CAM,61.0,59.0,70.0,55.0,60.0,305.0
6612,Pep Chavarría,LB,79.0,83.0,69.0,81.0,59.0,371.0
6613,J. Schwermann,SUB,66.0,65.0,67.0,90.0,72.0,360.0
6614,Nuno da Costa,SUB,77.0,78.0,79.0,65.0,48.0,347.0
6615,S. Köhler,RCM,63.0,56.0,65.0,76.0,56.0,316.0
6616,20 Zequinha,RW,68.0,70.0,70.0,58.0,54.0,320.0
6617,20 A. Picchi,RES,69.0,71.0,64.0,62.0,55.0,321.0
6618,19 K. Mbodji,RCB,58.0,63.0,38.0,66.0,80.0,305.0
6619,L. Pavez,SUB,86.0,79.0,79.0,75.0,73.0,392.0
6620,M. Simakan,LCB,66.0,70.0,59.0,74.0,73.0,342.0
6621,21 A. Aosman,CAM,78.0,73.0,77.0,65.0,72.0,365.0
6622,T. Kane,SUB,76.0,73.0,71.0,74.0,61.0,355.0
6623,Ismael Casas,SUB,82.0,84.0,78.0,79.0,65.0,388.0
6624,G. Caprari,LF,89.0,79.0,91.0,65.0,30.0,354.0
6625,B. Balcı,RB,68.0,73.0,68.0,77.0,67.0,353.0
6626,21 D. Furman,SUB,61.0,63.0,68.0,67.0,68.0,327.0
6627,B. Šeško,SUB,69.0,73.0,67.0,69.0,62.0,340.0
6628,J. Parr,LB,68.0,70.0,75.0,70.0,60.0,343.0
6629,21 D. Fox,LCB,42.0,34.0,62.0,53.0,72.0,263.0
6630,R. van Wolfswinkel,ST,61.0,57.0,59.0,51.0,46.0,274.0
6631,G. Lapslie,RCM,68.0,64.0,66.0,73.0,65.0,336.0
6632,S. Luperto,SUB,50.0,48.0,56.0,64.0,69.0,287.0
6633,F. Putros,SUB,70.0,67.0,72.0,74.0,70.0,353.0
6634,W. Bondo,SUB,78.0,73.0,80.0,65.0,67.0,363.0
6635,C. Elder,LB,72.0,74.0,62.0,80.0,61.0,349.0
6636,Formosandrinho,RS,76.0,78.0,77.0,61.0,52.0,344.0
6637,J. Vet,SUB,54.0,64.0,35.0,86.0,67.0,306.0
6638,20 E. Manu,ST,92.0,92.0,79.0,73.0,74.0,410.0
6639,18 E. Nabiullin,SUB,92.0,91.0,72.0,72.0,45.0,372.0
6640,E. Ba,RDM,61.0,65.0,72.0,75.0,69.0,342.0
6641,21 B. Kessel,SUB,50.0,53.0,53.0,55.0,80.0,291.0
6642,E. Robson,LCM,65.0,62.0,66.0,72.0,56.0,321.0
6643,17 S. Wright-Phillips,SUB,77.0,76.0,75.0,55.0,40.0,323.0
6644,H. Fujiharu,LM,70.0,75.0,80.0,62.0,59.0,346.0
6645,K. Hansen,CB,58.0,66.0,64.0,64.0,65.0,317.0
6646,M. Álvarez,ST,65.0,59.0,70.0,55.0,58.0,307.0
6647,J. Panzo,SUB,67.0,74.0,59.0,71.0,69.0,340.0
6648,L. Suárez,SUB,75.0,76.0,90.0,72.0,36.0,349.0
6649,21 B. Jones,RES,55.0,51.0,65.0,66.0,70.0,307.0
6650,Fer Niño,SUB,68.0,67.0,68.0,70.0,52.0,325.0
6651,S. Terodde,RS,52.0,55.0,52.0,67.0,75.0,301.0
6652,L. Tomlin,SUB,53.0,50.0,67.0,32.0,74.0,276.0
6653,C. Izquierdoz,RCB,50.0,51.0,35.0,81.0,78.0,295.0
6654,T. Ortíz,RES,79.0,77.0,79.0,57.0,59.0,351.0
6655,Dani Romera,SUB,83.0,87.0,85.0,57.0,56.0,368.0
6656,Vitinho,RWB,86.0,80.0,84.0,68.0,65.0,383.0
6657,Z. Amdouni,ST,68.0,70.0,63.0,67.0,59.0,327.0
6658,U. Meraş,SUB,72.0,75.0,72.0,81.0,67.0,367.0
6659,A. Herrera,RWB,77.0,80.0,72.0,74.0,65.0,368.0
6660,W. Spieringhs,SUB,61.0,61.0,61.0,74.0,73.0,330.0
6661,V. Crețu,RB,87.0,81.0,76.0,89.0,88.0,421.0
6662,J. Rodríguez,SUB,67.0,71.0,61.0,71.0,77.0,347.0
6663,21 Jota,RM,69.0,68.0,77.0,62.0,49.0,325.0
6664,J. Meredith,LB,74.0,77.0,63.0,83.0,55.0,352.0
6665,21 K. Erasmus,SUB,79.0,74.0,77.0,67.0,58.0,355.0
6666,J. Levi,RW,77.0,80.0,73.0,67.0,30.0,327.0
6667,21 V. Elm,CB,31.0,32.0,34.0,66.0,68.0,231.0
6668,O. Burke,SUB,85.0,91.0,69.0,68.0,58.0,371.0
6669,Christian Rivera,SUB,52.0,54.0,63.0,76.0,64.0,309.0
6670,P. Aguilar,LCB,60.0,52.0,56.0,62.0,79.0,309.0
6671,Jofre Carreras,RES,83.0,82.0,81.0,66.0,55.0,367.0
6672,E. Méndez,RDM,53.0,51.0,49.0,80.0,73.0,306.0
6673,S. Griesbeck,CDM,54.0,73.0,53.0,86.0,84.0,350.0
6674,G. Melkadze,SUB,75.0,73.0,72.0,67.0,81.0,368.0
6675,21 I. Aissati,CAM,75.0,61.0,78.0,70.0,34.0,318.0
6676,A. Martínez,SUB,68.0,61.0,81.0,72.0,47.0,329.0
6677,Beñat Prados,RES,69.0,63.0,75.0,60.0,48.0,315.0
6678,21 N. Ninković,RES,70.0,71.0,70.0,56.0,56.0,323.0
6679,20 Oriol Riera,SUB,65.0,63.0,60.0,72.0,73.0,333.0
6680,E. Harrison,SUB,76.0,79.0,74.0,75.0,80.0,384.0
6681,A. Pattison,RCM,68.0,69.0,81.0,71.0,62.0,351.0
6682,V. Loroña,RB,78.0,76.0,84.0,74.0,75.0,387.0
6683,L. Coyle,RB,74.0,72.0,70.0,75.0,66.0,357.0
6684,U. Garcia,SUB,72.0,78.0,69.0,83.0,64.0,366.0
6685,21 C. Benavente,SUB,77.0,68.0,78.0,52.0,37.0,312.0
6686,Yan Couto,SUB,81.0,82.0,79.0,72.0,72.0,386.0
6687,F. Starzyński,LCM,34.0,34.0,77.0,66.0,33.0,244.0
6688,B. Wood,SUB,75.0,75.0,74.0,60.0,58.0,342.0
6689,F. Di Tacchio,LCM,49.0,53.0,49.0,90.0,70.0,311.0
6690,20 Y. Kasim,LCM,59.0,59.0,75.0,66.0,64.0,323.0
6691,L. Abram,SUB,63.0,67.0,58.0,79.0,79.0,346.0
6692,J. Husband,SUB,63.0,68.0,61.0,72.0,68.0,332.0
6693,M. Dittgen,SUB,87.0,83.0,69.0,85.0,51.0,375.0
6694,M. Manotas,RS,72.0,72.0,70.0,74.0,73.0,361.0
6695,V. Rodić,RM,82.0,81.0,82.0,80.0,68.0,393.0
6696,S. Maguire,LS,92.0,82.0,89.0,79.0,53.0,395.0
6697,E. Torres,SUB,64.0,60.0,59.0,68.0,65.0,316.0
6698,M. Lacroix,RCB,81.0,93.0,64.0,67.0,74.0,379.0
6699,K. Freeman,SUB,67.0,69.0,72.0,68.0,62.0,338.0
6700,C. Telo,SUB,72.0,74.0,80.0,66.0,65.0,357.0
6701,M. de Iriondo,SUB,69.0,63.0,73.0,80.0,64.0,349.0
6702,J. Candia,ST,72.0,73.0,71.0,51.0,59.0,326.0
6703,Aridai,ST,80.0,80.0,93.0,60.0,50.0,363.0
6704,U. Sadiq,ST,80.0,85.0,65.0,69.0,42.0,341.0
6705,21 Alberto Benito,SUB,77.0,75.0,73.0,90.0,69.0,384.0
6706,M. Kallesøe,RB,80.0,82.0,70.0,84.0,58.0,374.0
6707,R. Lauritsen,CB,59.0,63.0,53.0,72.0,75.0,322.0
6708,B. Reeves,SUB,73.0,67.0,84.0,78.0,38.0,340.0
6709,E. Akichi,SUB,70.0,65.0,72.0,79.0,66.0,352.0
6710,16 G. Bellini,RES,53.0,54.0,57.0,63.0,69.0,296.0
6711,21 C. Kirby,SUB,74.0,69.0,75.0,75.0,62.0,355.0
6712,J. García,SUB,75.0,77.0,68.0,69.0,71.0,360.0
6713,M. Palacios,SUB,71.0,66.0,80.0,63.0,41.0,321.0
6714,B. Soppy,SUB,76.0,79.0,69.0,69.0,64.0,357.0
6715,19 Diego Capel,SUB,73.0,70.0,85.0,49.0,65.0,342.0
6716,J. Murillo,RCB,81.0,77.0,73.0,81.0,74.0,386.0
6717,16 C. Blanco,SUB,28.0,26.0,34.0,25.0,72.0,185.0
6718,Show,RES,65.0,61.0,66.0,66.0,74.0,332.0
6719,S. Gómez,LDM,62.0,63.0,66.0,81.0,60.0,332.0
6720,21 M. Rømer,CM,57.0,62.0,65.0,83.0,78.0,345.0
6721,G. Francomb,RB,66.0,67.0,68.0,71.0,52.0,324.0
6722,S. Rooney,RWB,75.0,76.0,64.0,82.0,84.0,381.0
6723,G. Botos,CAM,72.0,64.0,74.0,60.0,65.0,335.0
6724,K. Ogawa,SUB,73.0,71.0,77.0,73.0,48.0,342.0
6725,A. D'Alberto,SUB,75.0,83.0,72.0,68.0,65.0,363.0
6726,J. Skjelvik,LB,81.0,81.0,72.0,74.0,67.0,375.0
6727,Jailson Oliva,SUB,84.0,78.0,85.0,77.0,62.0,386.0
6728,21 J. Correa,SUB,73.0,70.0,76.0,74.0,55.0,348.0
6729,R. Tesuri,SUB,85.0,75.0,87.0,69.0,45.0,361.0
6730,T. Pasher,RW,71.0,65.0,67.0,80.0,55.0,338.0
6731,19 M. Vermijl,RES,83.0,83.0,72.0,76.0,77.0,391.0
6732,D. Lenihan,RCB,66.0,68.0,61.0,71.0,80.0,346.0
6733,Ely,SUB,80.0,82.0,74.0,66.0,50.0,352.0
6734,O. Kakabadze,SUB,81.0,82.0,77.0,71.0,70.0,381.0
6735,Gonzalo Verdú,CB,54.0,60.0,63.0,68.0,75.0,320.0
6736,A. Zabolotnyi,ST,59.0,78.0,65.0,68.0,72.0,342.0
6737,G. Paquiez,SUB,69.0,70.0,68.0,75.0,65.0,347.0
6738,C. Soukou,SUB,77.0,71.0,69.0,76.0,52.0,345.0
6739,T. Chalobah,SUB,62.0,68.0,56.0,72.0,73.0,331.0
6740,18 A. Pirlo,SUB,37.0,30.0,44.0,38.0,49.0,198.0
6741,K. Endo,SUB,79.0,74.0,75.0,71.0,58.0,357.0
6742,P. Wimmer,RM,85.0,88.0,82.0,80.0,60.0,395.0
6743,N. Murru,SUB,71.0,71.0,68.0,72.0,72.0,354.0
6744,G. Scamacca,SUB,67.0,72.0,61.0,54.0,55.0,309.0
6745,L. Itter,SUB,69.0,71.0,68.0,67.0,58.0,333.0
6746,C. Clark,SUB,50.0,51.0,54.0,61.0,80.0,296.0
6747,M. Noubissi,LS,81.0,82.0,76.0,70.0,73.0,382.0
6748,21 G. dos Santos,SUB,75.0,72.0,77.0,55.0,39.0,318.0
6749,B. Hussein,LCM,70.0,65.0,76.0,72.0,54.0,337.0
6750,A. Katránis,LB,72.0,72.0,70.0,67.0,69.0,350.0
6751,P. Coutts,SUB,53.0,51.0,65.0,66.0,66.0,301.0
6752,K. Morris,LWB,72.0,70.0,81.0,80.0,57.0,360.0
6753,18 C. Jones,SUB,70.0,72.0,77.0,61.0,30.0,310.0
6754,16 G. Holt,SUB,34.0,38.0,43.0,59.0,84.0,258.0
6755,D. Ćaleta-Car,SUB,57.0,60.0,46.0,77.0,78.0,318.0
6756,M. Fofana,LM,92.0,91.0,93.0,71.0,29.0,376.0
6757,Thiago Alminxa,RW,81.0,83.0,63.0,55.0,53.0,335.0
6758,11 C. Makélelé,RDM,60.0,64.0,71.0,68.0,81.0,344.0
6759,21 Ricardo Gomes,ST,62.0,72.0,66.0,62.0,76.0,338.0
6760,F. Gerometta,RB,73.0,78.0,75.0,74.0,75.0,375.0
6761,B. Lederman,RES,79.0,73.0,82.0,71.0,63.0,368.0
6762,20 E. Calaiò,RES,57.0,60.0,76.0,65.0,68.0,326.0
6763,V. Castellanos,ST,72.0,71.0,70.0,75.0,78.0,366.0
6764,T. Walker,SUB,77.0,81.0,82.0,72.0,46.0,358.0
6765,L. Palun,RB,65.0,70.0,66.0,80.0,68.0,349.0
6766,Toni Moya,SUB,55.0,64.0,62.0,62.0,58.0,301.0
6767,S. Bahoken,SUB,76.0,78.0,74.0,72.0,54.0,354.0
6768,A. Medina,SUB,77.0,75.0,70.0,71.0,60.0,353.0
6769,I. Success,RES,69.0,74.0,67.0,46.0,45.0,301.0
6770,Z. Brault-Guillard,RWB,90.0,90.0,78.0,82.0,62.0,402.0
6771,E. Smith,CDM,61.0,65.0,64.0,74.0,69.0,333.0
6772,C. Ogbene,RWB,91.0,90.0,77.0,68.0,65.0,391.0
6773,L. Kübler,SUB,69.0,79.0,66.0,66.0,71.0,351.0
6774,D. Rasak,LCM,72.0,69.0,74.0,80.0,72.0,367.0
6775,E. Loiodice,SUB,60.0,54.0,66.0,64.0,60.0,304.0
6776,E. Assifuah,ST,91.0,91.0,91.0,75.0,54.0,402.0
6777,S. Baldock,ST,73.0,69.0,77.0,75.0,72.0,366.0
6778,J. Egan,CB,62.0,65.0,60.0,71.0,78.0,336.0
6779,N. Figal,RB,69.0,69.0,69.0,74.0,76.0,357.0
6780,T. Svendsen,SUB,83.0,69.0,92.0,69.0,74.0,387.0
6781,S. Ward,LB,58.0,54.0,55.0,65.0,70.0,302.0
6782,E. Watt,RDM,68.0,67.0,72.0,91.0,68.0,366.0
6783,A. Beestin,SUB,68.0,68.0,71.0,84.0,55.0,346.0
6784,20 P. Osvaldo,SUB,55.0,51.0,67.0,48.0,72.0,293.0
6785,11 Ronaldo,RES,61.0,59.0,54.0,37.0,15.0,226.0
6786,20 B. Tekpetey,RES,87.0,91.0,86.0,68.0,42.0,374.0
6787,20 H. Rivera,RDM,71.0,69.0,74.0,74.0,43.0,331.0
6788,21 G. Ngonda,LWB,77.0,74.0,79.0,74.0,72.0,376.0
6789,21 A. Bakayoko,RES,78.0,78.0,80.0,69.0,43.0,348.0
6790,N. Umyarov,SUB,63.0,64.0,61.0,72.0,70.0,330.0
6791,L. Klünter,SUB,83.0,89.0,71.0,73.0,62.0,378.0
6792,A. Ibargüen,SUB,92.0,90.0,89.0,49.0,46.0,366.0
6793,21 M. Pavelić,SUB,76.0,71.0,73.0,70.0,57.0,347.0
6794,V. Misidjan,RW,87.0,85.0,86.0,63.0,53.0,374.0
6795,A. White,SUB,79.0,78.0,66.0,58.0,48.0,329.0
6796,Z. Valentin,RB,66.0,68.0,63.0,71.0,66.0,334.0
6797,B. Bese,SUB,70.0,89.0,69.0,87.0,71.0,386.0
6798,21 I. Opara,RES,72.0,81.0,70.0,61.0,82.0,366.0
6799,R. Coly,SUB,78.0,80.0,72.0,72.0,74.0,376.0
6800,K. Junker,SUB,84.0,86.0,72.0,70.0,53.0,365.0
6801,K. Babacar,SUB,64.0,68.0,69.0,52.0,56.0,309.0
6802,K. Klefisch,RCM,67.0,67.0,66.0,74.0,75.0,349.0
6803,C. Borchgrevink,RB,74.0,69.0,65.0,82.0,58.0,348.0
6804,Tomás Silva,SUB,73.0,75.0,62.0,73.0,60.0,343.0
6805,V. Mihăilă,SUB,91.0,90.0,82.0,79.0,45.0,387.0
6806,L. Kelly,LCB,72.0,75.0,63.0,70.0,73.0,353.0
6807,R. Leal,SUB,73.0,64.0,81.0,75.0,47.0,340.0
6808,21 G. Gigliotti,RCB,75.0,68.0,70.0,82.0,71.0,366.0
6809,P. Dziczek,SUB,62.0,64.0,68.0,89.0,66.0,349.0
6810,Jorge Sáenz,CB,55.0,69.0,54.0,84.0,70.0,332.0
6811,D. Ndongala,SUB,87.0,85.0,92.0,67.0,39.0,370.0
6812,J. Vargas,CAM,82.0,74.0,84.0,65.0,41.0,346.0
6813,L. Marín,SUB,69.0,69.0,64.0,72.0,77.0,351.0
6814,D. Keita-Ruel,ST,70.0,71.0,69.0,71.0,79.0,360.0
6815,José Fonte,RCB,32.0,32.0,43.0,57.0,83.0,247.0
6816,21 Jon Toral,SUB,74.0,66.0,70.0,51.0,47.0,308.0
6817,R. Reitz,SUB,69.0,63.0,76.0,54.0,57.0,319.0
6818,J. Muleka,RW,78.0,77.0,81.0,71.0,63.0,370.0
6819,Y. Abe,SUB,33.0,31.0,55.0,32.0,56.0,207.0
6820,G. Hachen,RCM,83.0,79.0,85.0,67.0,51.0,365.0
6821,21 S. Srnić,SUB,73.0,63.0,68.0,66.0,59.0,329.0
6822,N. Rasskazov,RB,74.0,75.0,70.0,63.0,52.0,334.0
6823,20 N. Ghilas,SUB,64.0,68.0,59.0,44.0,74.0,309.0
6824,T. Pembélé,RWB,84.0,85.0,71.0,63.0,59.0,362.0
6825,21 P. Cibicki,RES,75.0,78.0,84.0,76.0,57.0,370.0
6826,L. Agoumé,RDM,67.0,59.0,68.0,76.0,61.0,331.0
6827,J. Croux,SUB,85.0,79.0,84.0,63.0,58.0,369.0
6828,D. Wein,SUB,60.0,61.0,69.0,85.0,61.0,336.0
6829,S. Foley,RCM,67.0,52.0,64.0,70.0,51.0,304.0
6830,Henrique,SUB,75.0,77.0,73.0,73.0,69.0,367.0
6831,Jesús Bueno,RES,60.0,62.0,65.0,75.0,65.0,327.0
6832,D. Čop,SUB,62.0,37.0,66.0,65.0,59.0,289.0
6833,Carlos Embaló,SUB,84.0,88.0,84.0,70.0,40.0,366.0
6834,K. Boto,LB,73.0,71.0,68.0,81.0,50.0,343.0
6835,F. Campos,RB,75.0,72.0,70.0,76.0,58.0,351.0
6836,S. Taniguchi,LCB,52.0,73.0,58.0,82.0,62.0,327.0
6837,C. Itten,LS,71.0,65.0,59.0,71.0,59.0,325.0
6838,H. Pell,RCM,55.0,58.0,31.0,80.0,83.0,307.0
6839,21 J. Harper,RES,76.0,76.0,71.0,75.0,56.0,354.0
6840,21 H. Hassan,SUB,69.0,71.0,70.0,70.0,44.0,324.0
6841,B. Eleke,SUB,64.0,70.0,63.0,69.0,70.0,336.0
6842,21 G. Simion,SUB,81.0,76.0,69.0,73.0,70.0,369.0
6843,G. Torres,LS,81.0,82.0,77.0,76.0,49.0,365.0
6844,E. Vignato,SUB,77.0,69.0,78.0,65.0,39.0,328.0
6845,P. Sagna,SUB,70.0,75.0,72.0,69.0,64.0,350.0
6846,C. Yacob,CDM,46.0,37.0,52.0,52.0,88.0,275.0
6847,19 D. Vaughan,SUB,33.0,33.0,50.0,50.0,66.0,232.0
6848,G. Hooper,LS,54.0,63.0,64.0,52.0,59.0,292.0
6849,L. Takács,RES,57.0,60.0,51.0,66.0,75.0,309.0
6850,R. Smallwood,RDM,47.0,53.0,57.0,71.0,74.0,302.0
6851,C. Daniel,SUB,63.0,72.0,74.0,75.0,49.0,333.0
6852,J. Grot,LW,68.0,86.0,52.0,75.0,75.0,356.0
6853,H. Mae,LDM,60.0,58.0,59.0,73.0,64.0,314.0
6854,Paulo Vinícius,RCB,47.0,33.0,57.0,69.0,79.0,285.0
6855,19 O. Damari,RES,79.0,77.0,77.0,66.0,59.0,358.0
6856,D. Butler,LWB,73.0,73.0,80.0,85.0,67.0,378.0
6857,17 M. Tavares,SUB,63.0,62.0,59.0,71.0,67.0,322.0
6858,19 P. Granoche,RES,66.0,68.0,74.0,78.0,63.0,349.0
6859,Aguilera,LDM,51.0,43.0,81.0,59.0,70.0,304.0
6860,G. Biancone,LWB,68.0,75.0,55.0,77.0,68.0,343.0
6861,T. Persyn,SUB,83.0,81.0,72.0,70.0,59.0,365.0
6862,E. Salcedo,SUB,79.0,77.0,83.0,58.0,46.0,343.0
6863,21 O. Bouy,RES,53.0,50.0,57.0,59.0,59.0,278.0
6864,A. Rrahmani,SUB,54.0,69.0,49.0,73.0,78.0,323.0
6865,A. Grbic,SUB,68.0,74.0,66.0,72.0,59.0,339.0
6866,21 J. Valdivia,SUB,58.0,46.0,68.0,47.0,57.0,276.0
6867,21 J. Skalák,RES,68.0,65.0,76.0,53.0,59.0,321.0
6868,A. Frías,RCB,66.0,72.0,68.0,73.0,79.0,358.0
6869,20 B. Idowu,SUB,90.0,85.0,70.0,77.0,64.0,386.0
6870,A. Chalá,SUB,89.0,91.0,72.0,79.0,67.0,398.0
6871,20 Pedro,RES,70.0,69.0,70.0,62.0,51.0,322.0
6872,21 Guillem Jaime,SUB,70.0,71.0,68.0,65.0,49.0,323.0
